input_dataset,method,agents,agent_topk,avg_top1,val_avg_top1,seed,irl_lr,irl_epochs,irl_greedy,irl_tau,irl_weights,dt_negatives,dt_max_depth
ticket_log_FCFS.csv,dt_local,"Alice,Bob,Carol","{'Alice': [0.0945945945945946, 0.21621621621621623, 0.3108108108108108], 'Bob': [0.1267605633802817, 0.2535211267605634, 0.323943661971831], 'Carol': [0.16363636363636364, 0.3090909090909091, 0.38181818181818183]}",0.12833050720374664,0.4593382807668522,42,0.005,100,False,1.0,,10,
ticket_log_FCFS.csv,dt_global,"Alice,Bob,Carol","{'Alice': [0.10810810810810811, 0.25675675675675674, 0.35135135135135137], 'Bob': [0.15492957746478872, 0.2676056338028169, 0.3380281690140845], 'Carol': [0.16363636363636364, 0.2727272727272727, 0.38181818181818183]}",0.1422246830697535,0.47826221397649965,42,0.005,100,False,1.0,,10,5
ticket_log_FCFS.csv,dt_global,"Alice,Bob,Carol","{'Alice': [0.2702702702702703, 0.5135135135135135, 0.7162162162162162], 'Bob': [0.19718309859154928, 0.38028169014084506, 0.5774647887323944], 'Carol': [0.2909090909090909, 0.4, 0.5636363636363636]}",0.2527874865903035,0.5334415584415585,42,0.005,100,False,1.0,,10,10
ticket_log_FCFS.csv,dt_global,"Alice,Bob,Carol","{'Alice': [0.1891891891891892, 0.28378378378378377, 0.3783783783783784], 'Bob': [0.11267605633802817, 0.23943661971830985, 0.323943661971831], 'Carol': [0.21818181818181817, 0.3090909090909091, 0.43636363636363634]}",0.17334902123634519,0.4910173160173161,42,0.005,100,False,1.0,,10,20
ticket_log_FCFS.csv,dt_global,"Alice,Bob,Carol","{'Alice': [0.16216216216216217, 0.28378378378378377, 0.3918918918918919], 'Bob': [0.11267605633802817, 0.2535211267605634, 0.3380281690140845], 'Carol': [0.2, 0.34545454545454546, 0.4727272727272727]}",0.1582794061667301,0.4911255411255411,42,0.005,100,False,1.0,,10,
ticket_log_EDD.csv,random,"Alice,Bob,Carol","{'Alice': [0.14754098360655737, 0.22950819672131148, 0.2786885245901639], 'Bob': [0.13636363636363635, 0.22727272727272727, 0.30303030303030304], 'Carol': [0.0410958904109589, 0.1506849315068493, 0.273972602739726]}",0.10833350346038421,,42,0.005,100,False,1.0,,50,5
ticket_log_EDD.csv,fifo,"Alice,Bob,Carol","{'Alice': [0.21311475409836064, 0.39344262295081966, 0.6065573770491803], 'Bob': [0.2878787878787879, 0.4696969696969697, 0.6060606060606061], 'Carol': [0.2465753424657534, 0.4383561643835616, 0.5753424657534246]}",0.24918962814763398,,42,0.005,100,False,1.0,,50,5
ticket_log_EDD.csv,irl,"Alice,Bob,Carol","{'Alice': [0.7377049180327869, 0.9180327868852459, 0.9836065573770492], 'Bob': [0.803030303030303, 0.9242424242424242, 0.9696969696969697], 'Carol': [0.6986301369863014, 0.9041095890410958, 0.9315068493150684]}",0.7464551193497971,0.6446146953405019,42,0.001,100,True,1.0,"{'Bob': array([-1.38927976e-01,  6.90141051e-01,  7.19437874e-01,  6.43887361e-01,
        1.51120199e-01,  2.72072593e-01,  1.96300905e-01,  4.85307471e-04,
        5.44527035e-01, -3.12939813e+00]), 'Alice': array([ 0.03678951,  0.69487845,  0.68416092,  0.67548446,  0.24462332,
        0.21019081,  0.15821582, -0.13748234,  0.55110626, -3.36515663]), 'Carol': array([-0.05915789,  0.58342796,  0.7234692 ,  0.74589772,  0.21756543,
        0.17624166,  0.08640939,  0.15135683,  0.56595196, -3.29819267])}",50,5
ticket_log_EDD.csv,irl,"Alice,Bob,Carol","{'Alice': [0.9180327868852459, 1.0, 1.0], 'Bob': [0.9090909090909091, 0.9696969696969697, 1.0], 'Carol': [0.821917808219178, 0.9452054794520548, 1.0]}",0.8830138347317776,0.8670878136200716,42,0.005,100,True,1.0,"{'Bob': array([-0.12286677,  0.68388736,  0.72074445,  0.64873044,  0.14350643,
        0.28984422,  0.17831112,  0.01098302,  0.36426351, -7.25554484]), 'Alice': array([ 0.06139947,  0.71321278,  0.67164612,  0.6697354 ,  0.27485934,
        0.19562555,  0.13800287, -0.15768202,  0.27220449, -7.81998548]), 'Carol': array([-0.08245385,  0.55951537,  0.75391826,  0.73997806,  0.20417022,
        0.18166691,  0.09881625,  0.1700524 ,  0.36301704, -7.71001459])}",50,5
ticket_log_EDD.csv,irl,"Alice,Bob,Carol","{'Alice': [0.9344262295081968, 1.0, 1.0], 'Bob': [0.9090909090909091, 0.9696969696969697, 1.0], 'Carol': [0.8767123287671232, 0.9726027397260274, 1.0]}",0.906743155788743,0.8860752688172043,42,0.01,100,True,1.0,"{'Bob': array([-0.11253246,  0.68507861,  0.71513481,  0.65301033,  0.14431162,
        0.29838325,  0.16321464,  0.01282085,  0.29423084, -9.8716278 ]), 'Alice': array([  0.07375216,   0.72368655,   0.66035465,   0.6704642 ,
         0.28884907,   0.18507016,   0.13487537,  -0.16669007,
         0.15201326, -10.65913296]), 'Carol': array([ -0.08751496,   0.55492392,   0.75709187,   0.74140965,
         0.18955428,   0.19047163,   0.10712944,   0.17912297,
         0.22713677, -10.53803942])}",50,5
